airline,source_airport,departure_airport_name,departure_city,departure_country,dest_airport,arrival_airport_name,arrival_city,arrival_country,equipment,flight
Indigo,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,NCE,Nice-Côte d'Azur Airport,Nice,France,73H,6E-788
Indigo,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,OAK,Metropolitan Oakland International Airport,Oakland,United States,788,6E-2616
Indigo,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,OLB,Olbia Costa Smeralda Airport,Olbia,Italy,73H,6E-2338
Vistara,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,ORY,Paris-Orly Airport,Paris,France,73H,UK-705
Vistara,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,OSL,Oslo Lufthavn,Oslo,Norway,73H 733,UK-705
Indigo,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,73H,6E-369
AirAsia,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,PMO,Falcone–Borsellino Airport,Palermo,Italy,73H,I5-548
AirAsia,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,PRG,Václav Havel Airport Prague,Prague,Czech Republic,73H,I5-548
Vistara,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,PSA,Pisa International Airport,Pisa,Italy,73H,UK-705
Vistara,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,RIX,Riga International Airport,Riga,Latvia,73H,UK-705
Vistara,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SJJ,Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina,73H,UK-673
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SPU,Split Airport,Split,Croatia,73H,AI-762
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,SXF,Berlin-Schönefeld Airport,Berlin,Germany,73H,AI-764
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,TLV,Ben Gurion International Airport,Tel-aviv,Israel,73H,AI-9843
Air_India,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,VAA,Vaasa Airport,Vaasa,Finland,73H,AI-877
AirAsia,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,VCE,Venice Marco Polo Airport,Venice,Italy,73H,I5-740
AirAsia,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,VNO,Vilnius International Airport,Vilnius,Lithuania,73H,I5-747
AirAsia,ATH,Eleftherios Venizelos International Airport,Athens,Greece,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,I5-1529
Vistara,ATH,Eleftherios Venizelos International Airport,Athens,Greece,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,UK-815
Vistara,ATH,Eleftherios Venizelos International Airport,Athens,Greece,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,UK-817
Vistara,ATH,Eleftherios Venizelos International Airport,Athens,Greece,OSL,Oslo Lufthavn,Oslo,Norway,73H,UK-813
Vistara,AYT,Antalya International Airport,Antalya,Turkey,BGO,Bergen Airport Flesland,Bergen,Norway,73H,UK-809
GO_FIRST,AYT,Antalya International Airport,Antalya,Turkey,OSL,Oslo Lufthavn,Oslo,Norway,73H,G8-119
Indigo,AYT,Antalya International Airport,Antalya,Turkey,TRD,Trondheim Airport Værnes,Trondheim,Norway,73H,6E-2336
SpiceJet,AYT,Antalya International Airport,Antalya,Turkey,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,73H,SG-143
Indigo,BCN,Barcelona International Airport,Barcelona,Spain,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,6E-2026
Indigo,BCN,Barcelona International Airport,Barcelona,Spain,BGO,Bergen Airport Flesland,Bergen,Norway,73H,6E-654
Indigo,BCN,Barcelona International Airport,Barcelona,Spain,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,6E-2131
Indigo,BCN,Barcelona International Airport,Barcelona,Spain,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,73H,6E-2028
Air_India,BCN,Barcelona International Airport,Barcelona,Spain,HAM,Hamburg Airport,Hamburg,Germany,73H,AI-803
Air_India,BCN,Barcelona International Airport,Barcelona,Spain,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,AI-504
AirAsia,BCN,Barcelona International Airport,Barcelona,Spain,LGW,London Gatwick Airport,London,United Kingdom,73H,I5-744
AirAsia,BCN,Barcelona International Airport,Barcelona,Spain,OSL,Oslo Lufthavn,Oslo,Norway,73H,I5-710
AirAsia,BCN,Barcelona International Airport,Barcelona,Spain,SXF,Berlin-Schönefeld Airport,Berlin,Germany,73H,I5-744
AirAsia,BCN,Barcelona International Airport,Barcelona,Spain,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,73H,I5-711
GO_FIRST,BCN,Barcelona International Airport,Barcelona,Spain,WAW,Warsaw Chopin Airport,Warsaw,Poland,73H,G8-2513
GO_FIRST,BEG,Belgrade Nikola Tesla Airport,Belgrade,Serbia,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,G8-330
GO_FIRST,BEG,Belgrade Nikola Tesla Airport,Belgrade,Serbia,OSL,Oslo Lufthavn,Oslo,Norway,733,G8-346
GO_FIRST,BGO,Bergen Airport Flesland,Bergen,Norway,AGP,Málaga Airport,Malaga,Spain,73H,G8-323
SpiceJet,BGO,Bergen Airport Flesland,Bergen,Norway,ALC,Alicante International Airport,Alicante,Spain,73H,SG-8938
Vistara,BGO,Bergen Airport Flesland,Bergen,Norway,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,UK-801
Vistara,BGO,Bergen Airport Flesland,Bergen,Norway,AYT,Antalya International Airport,Antalya,Turkey,73H,UK-819
Indigo,BGO,Bergen Airport Flesland,Bergen,Norway,BCN,Barcelona International Airport,Barcelona,Spain,73H,6E-5175
AirAsia,BGO,Bergen Airport Flesland,Bergen,Norway,CHQ,Chania International Airport,Chania,Greece,73H,I5-784
AirAsia,BGO,Bergen Airport Flesland,Bergen,Norway,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,I5-764
Indigo,BGO,Bergen Airport Flesland,Bergen,Norway,DBV,Dubrovnik Airport,Dubrovnik,Croatia,73H,6E-2188
Indigo,BGO,Bergen Airport Flesland,Bergen,Norway,EDI,Edinburgh Airport,Edinburgh,United Kingdom,73H,6E-2147
AirAsia,BGO,Bergen Airport Flesland,Bergen,Norway,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,73H,I5-768
AirAsia,BGO,Bergen Airport Flesland,Bergen,Norway,JFK,John F Kennedy International Airport,New York,United States,788,I5-767
Air_India,BGO,Bergen Airport Flesland,Bergen,Norway,KEF,Keflavik International Airport,Keflavik,Iceland,73H,AI-542
Air_India,BGO,Bergen Airport Flesland,Bergen,Norway,KRK,Kraków John Paul II International Airport,Krakow,Poland,73H,AI-560
Air_India,BGO,Bergen Airport Flesland,Bergen,Norway,LGW,London Gatwick Airport,London,United Kingdom,73H,AI-839
Air_India,BGO,Bergen Airport Flesland,Bergen,Norway,LPA,Gran Canaria Airport,Gran Canaria,Spain,73H,AI-839
Air_India,BGO,Bergen Airport Flesland,Bergen,Norway,NCE,Nice-Côte d'Azur Airport,Nice,France,73H,AI-542
Vistara,BGO,Bergen Airport Flesland,Bergen,Norway,ORY,Paris-Orly Airport,Paris,France,73H,UK-985
Vistara,BGO,Bergen Airport Flesland,Bergen,Norway,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,73H,UK-977
Vistara,BGO,Bergen Airport Flesland,Bergen,Norway,PRG,Václav Havel Airport Prague,Prague,Czech Republic,73H,UK-985
Vistara,BGO,Bergen Airport Flesland,Bergen,Norway,SXF,Berlin-Schönefeld Airport,Berlin,Germany,73H,UK-955
Vistara,BIO,Bilbao Airport,Bilbao,Spain,OSL,Oslo Lufthavn,Oslo,Norway,73H,UK-977
Vistara,BKK,Suvarnabhumi Airport,Bangkok,Thailand,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,788,UK-955
Vistara,BKK,Suvarnabhumi Airport,Bangkok,Thailand,OSL,Oslo Lufthavn,Oslo,Norway,788,UK-963
Vistara,BLL,Billund Airport,Billund,Denmark,ALC,Alicante International Airport,Alicante,Spain,73H,UK-963
Vistara,BLL,Billund Airport,Billund,Denmark,OSL,Oslo Lufthavn,Oslo,Norway,733 73H,UK-953
Vistara,BOJ,Burgas Airport,Bourgas,Bulgaria,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,UK-953
Air_India,BOJ,Burgas Airport,Bourgas,Bulgaria,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,AI-805
Air_India,BOJ,Burgas Airport,Bourgas,Bulgaria,OSL,Oslo Lufthavn,Oslo,Norway,73H,AI-624
Air_India,BTS,M. R. Štefánik Airport,Bratislava,Slovakia,OSL,Oslo Lufthavn,Oslo,Norway,73H 733,AI-868
Air_India,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,AI-441
Air_India,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,AI-636
Vistara,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,UK-995
Vistara,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,LGW,London Gatwick Airport,London,United Kingdom,73H,UK-927
Vistara,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,OSL,Oslo Lufthavn,Oslo,Norway,733,UK-995
Indigo,CGN,Cologne Bonn Airport,Cologne,Germany,AGP,Málaga Airport,Malaga,Spain,73H,6E-2616
Vistara,CGN,Cologne Bonn Airport,Cologne,Germany,ALC,Alicante International Airport,Alicante,Spain,73H,UK-951
Air_India,CGN,Cologne Bonn Airport,Cologne,Germany,LPA,Gran Canaria Airport,Gran Canaria,Spain,73H,AI-544
Air_India,CGN,Cologne Bonn Airport,Cologne,Germany,OSL,Oslo Lufthavn,Oslo,Norway,73H,AI-544
Vistara,CGN,Cologne Bonn Airport,Cologne,Germany,TFS,Tenerife South Airport,Tenerife,Spain,73H,UK-933
AirAsia,CHQ,Chania International Airport,Chania,Greece,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,I5-798
Indigo,CHQ,Chania International Airport,Chania,Greece,BGO,Bergen Airport Flesland,Bergen,Norway,73H,6E-2373
Vistara,CHQ,Chania International Airport,Chania,Greece,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,UK-963
Vistara,CHQ,Chania International Airport,Chania,Greece,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,UK-985
Vistara,CHQ,Chania International Airport,Chania,Greece,OSL,Oslo Lufthavn,Oslo,Norway,733,UK-977
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,AGP,Málaga Airport,Malaga,Spain,73H,UK-955
GO_FIRST,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,ALC,Alicante International Airport,Alicante,Spain,73H,G8-334
GO_FIRST,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,73H,G8-171
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,UK-953
Air_India,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,ATH,Eleftherios Venizelos International Airport,Athens,Greece,73H,AI-839
Air_India,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,BCN,Barcelona International Airport,Barcelona,Spain,73H,AI-465
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,BGO,Bergen Airport Flesland,Bergen,Norway,73H,6.00E-221
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,BOJ,Burgas Airport,Bourgas,Bulgaria,73H,UK-995
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,73H,UK-927
AirAsia,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,CHQ,Chania International Airport,Chania,Greece,73H,I5-775
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,CTA,Catania-Fontanarossa Airport,Catania,Italy,73H,UK-953
GO_FIRST,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,DUB,Dublin Airport,Dublin,Ireland,73H,G8-717
SpiceJet,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,EDI,Edinburgh Airport,Edinburgh,United Kingdom,73H,SG-8721
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,FAO,Faro Airport,Faro,Portugal,73H,UK-945
SpiceJet,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,73H,SG-8946
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,788,6E-2247
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,6E-2005
Air_India,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,JFK,John F Kennedy International Airport,New York,United States,788,AI-502
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,KRK,Kraków John Paul II International Airport,Krakow,Poland,73H,6E-6205
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,LAX,Los Angeles International Airport,Los Angeles,United States,788,UK-637
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,LGW,London Gatwick Airport,London,United Kingdom,73H,6.00E-152
AirAsia,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,LIS,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,73H,I5-783
Air_India,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,LPA,Gran Canaria Airport,Gran Canaria,Spain,73H,AI-839
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,73H,6E-2331
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,MLA,Malta International Airport,Malta,Malta,73H,6E-2331
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,NCE,Nice-Côte d'Azur Airport,Nice,France,73H,6E-2247
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,ORY,Paris-Orly Airport,Paris,France,73H,6E-2005
GO_FIRST,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,OSL,Oslo Lufthavn,Oslo,Norway,73H 733,G8-165
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,73H,UK-963
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,PRG,Václav Havel Airport Prague,Prague,Czech Republic,73H,6E-6205
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,PSA,Pisa International Airport,Pisa,Italy,73H,UK-995
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,RAK,Menara Airport,Marrakech,Morocco,73H,UK-927
Air_India,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,RIX,Riga International Airport,Riga,Latvia,73H,AI-467
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,SPU,Split Airport,Split,Croatia,73H,6E-2247
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,SXF,Berlin-Schönefeld Airport,Berlin,Germany,73H,6E-2247
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,TLV,Ben Gurion International Airport,Tel-aviv,Israel,73H,6E-2005
Indigo,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,TRD,Trondheim Airport Værnes,Trondheim,Norway,73H,6E-2005
Air_India,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,VCE,Venice Marco Polo Airport,Venice,Italy,73H,AI-459
Vistara,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,ZAG,Zagreb Airport,Zagreb,Croatia,73H,UK-951
Indigo,CTA,Catania-Fontanarossa Airport,Catania,Italy,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,6E-6205
Indigo,CTA,Catania-Fontanarossa Airport,Catania,Italy,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,6E-6205
GO_FIRST,CTA,Catania-Fontanarossa Airport,Catania,Italy,LGW,London Gatwick Airport,London,United Kingdom,73H,G8-143
Vistara,DBV,Dubrovnik Airport,Dubrovnik,Croatia,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,UK-933
Vistara,DBV,Dubrovnik Airport,Dubrovnik,Croatia,BGO,Bergen Airport Flesland,Bergen,Norway,73H,UK-945
Air_India,DBV,Dubrovnik Airport,Dubrovnik,Croatia,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,AI-409
Air_India,DBV,Dubrovnik Airport,Dubrovnik,Croatia,LGW,London Gatwick Airport,London,United Kingdom,73H,AI-512
SpiceJet,DBV,Dubrovnik Airport,Dubrovnik,Croatia,OSL,Oslo Lufthavn,Oslo,Norway,73H,SG-8645
Vistara,DBV,Dubrovnik Airport,Dubrovnik,Croatia,TRD,Trondheim Airport Værnes,Trondheim,Norway,73H,UK-741
GO_FIRST,DBV,Dubrovnik Airport,Dubrovnik,Croatia,TRF,"Sandefjord Airport, Torp",Sandefjord,Norway,73H,G8-133
GO_FIRST,DUB,Dublin Airport,Dublin,Ireland,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,G8-131
SpiceJet,DUB,Dublin Airport,Dublin,Ireland,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,SG-8171
Air_India,DUB,Dublin Airport,Dublin,Ireland,OSL,Oslo Lufthavn,Oslo,Norway,73H,AI-401
Air_India,EDI,Edinburgh Airport,Edinburgh,United Kingdom,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,AI-885
GO_FIRST,EDI,Edinburgh Airport,Edinburgh,United Kingdom,BGO,Bergen Airport Flesland,Bergen,Norway,73H,G8-165
Vistara,EDI,Edinburgh Airport,Edinburgh,United Kingdom,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,UK-705
Vistara,EDI,Edinburgh Airport,Edinburgh,United Kingdom,OSL,Oslo Lufthavn,Oslo,Norway,73H,UK-705
Indigo,EVE,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,ALC,Alicante International Airport,Alicante,Spain,73H,6E-369
GO_FIRST,FAO,Faro Airport,Faro,Portugal,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,G8-143
SpiceJet,FAO,Faro Airport,Faro,Portugal,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,SG-8411
GO_FIRST,FAO,Faro Airport,Faro,Portugal,LGW,London Gatwick Airport,London,United Kingdom,73H,G8-286
Vistara,FAO,Faro Airport,Faro,Portugal,OSL,Oslo Lufthavn,Oslo,Norway,73H,UK-673
AirAsia,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,I5-792
SpiceJet,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,BGO,Bergen Airport Flesland,Bergen,Norway,73H,SG-191
AirAsia,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,I5-740
AirAsia,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,73H,I5-1529
Vistara,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,HEL,Helsinki Vantaa Airport,Helsinki,Finland,73H,UK-815
GO_FIRST,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,LGW,London Gatwick Airport,London,United Kingdom,73H,G8-113
GO_FIRST,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,OSL,Oslo Lufthavn,Oslo,Norway,73H 733,G8-119
Indigo,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,788,6E-2336
Indigo,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,788,6E-2026
Indigo,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,OSL,Oslo Lufthavn,Oslo,Norway,788,6E-654
Indigo,FUE,Fuerteventura Airport,Fuerteventura,Spain,LGW,London Gatwick Airport,London,United Kingdom,73H,6E-2131
Air_India,GDN,Gdańsk Lech Wałęsa Airport,Gdansk,Poland,OSL,Oslo Lufthavn,Oslo,Norway,73H 733,AI-803
Air_India,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,AGP,Málaga Airport,Malaga,Spain,73H,AI-504
AirAsia,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,ALC,Alicante International Airport,Alicante,Spain,73H,I5-775
GO_FIRST,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,BCN,Barcelona International Airport,Barcelona,Spain,73H,G8-300
GO_FIRST,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,73H,G8-346
GO_FIRST,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,LGW,London Gatwick Airport,London,United Kingdom,73H,G8-323
SpiceJet,GOT,Gothenburg-Landvetter Airport,Gothenborg,Sweden,NCE,Nice-Côte d'Azur Airport,Nice,France,73H,SG-8207
SpiceJet,GVA,Geneva Cointrin International Airport,Geneva,Switzerland,OSL,Oslo Lufthavn,Oslo,Norway,733,SG-8946
Vistara,HAM,Hamburg Airport,Hamburg,Germany,AGP,Málaga Airport,Malaga,Spain,73H,UK-801
SpiceJet,HAM,Hamburg Airport,Hamburg,Germany,ALC,Alicante International Airport,Alicante,Spain,73H,SG-143
Indigo,HAM,Hamburg Airport,Hamburg,Germany,BCN,Barcelona International Airport,Barcelona,Spain,73H,6E-5175
AirAsia,HAM,Hamburg Airport,Hamburg,Germany,LPA,Gran Canaria Airport,Gran Canaria,Spain,73H,I5-764
Vistara,HAM,Hamburg Airport,Hamburg,Germany,OSL,Oslo Lufthavn,Oslo,Norway,73H,UK-809
AirAsia,HAM,Hamburg Airport,Hamburg,Germany,TFS,Tenerife South Airport,Tenerife,Spain,73H,I5-747
Indigo,HEL,Helsinki Vantaa Airport,Helsinki,Finland,AGP,Málaga Airport,Malaga,Spain,73H,6E-2188
Indigo,HEL,Helsinki Vantaa Airport,Helsinki,Finland,ALC,Alicante International Airport,Alicante,Spain,73H,6E-2028
Vistara,HEL,Helsinki Vantaa Airport,Helsinki,Finland,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,UK-813
AirAsia,HEL,Helsinki Vantaa Airport,Helsinki,Finland,ATH,Eleftherios Venizelos International Airport,Athens,Greece,73H,I5-768
AirAsia,HEL,Helsinki Vantaa Airport,Helsinki,Finland,BCN,Barcelona International Airport,Barcelona,Spain,73H,I5-744
AirAsia,HEL,Helsinki Vantaa Airport,Helsinki,Finland,BOJ,Burgas Airport,Bourgas,Bulgaria,73H,I5-798
AirAsia,HEL,Helsinki Vantaa Airport,Helsinki,Finland,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary,73H,I5-744
AirAsia,HEL,Helsinki Vantaa Airport,Helsinki,Finland,CHQ,Chania International Airport,Chania,Greece,73H,I5-775
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,AI-542
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,DBV,Dubrovnik Airport,Dubrovnik,Croatia,73H,AI-560
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,DUB,Dublin Airport,Dublin,Ireland,73H,AI-839
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,73H,AI-544
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,LGW,London Gatwick Airport,London,United Kingdom,73H,AI-839
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,NCE,Nice-Côte d'Azur Airport,Nice,France,73H,AI-544
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,ORY,Paris-Orly Airport,Paris,France,73H,AI-839
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,OSL,Oslo Lufthavn,Oslo,Norway,73H,AI-542
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,PMI,Palma De Mallorca Airport,Palma de Mallorca,Spain,73H,AI-560
Air_India,HEL,Helsinki Vantaa Airport,Helsinki,Finland,PRG,Václav Havel Airport Prague,Prague,Czech Republic,73H,AI-542
Vistara,HEL,Helsinki Vantaa Airport,Helsinki,Finland,SPU,Split Airport,Split,Croatia,73H,UK-927
Vistara,IBZ,Ibiza Airport,Ibiza,Spain,LGW,London Gatwick Airport,London,United Kingdom,73H,UK-963
Vistara,JFK,John F Kennedy International Airport,New York,United States,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,788,UK-927
Vistara,JFK,John F Kennedy International Airport,New York,United States,BGO,Bergen Airport Flesland,Bergen,Norway,788,UK-963
Indigo,JFK,John F Kennedy International Airport,New York,United States,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,788,6E-369
Vistara,JFK,John F Kennedy International Airport,New York,United States,OSL,Oslo Lufthavn,Oslo,Norway,788,UK-951
Vistara,JTR,Santorini Airport,Thira,Greece,LGW,London Gatwick Airport,London,United Kingdom,73H,UK-995
Vistara,KBP,Boryspil International Airport,Kiev,Ukraine,OSL,Oslo Lufthavn,Oslo,Norway,73H,UK-995
Indigo,KEF,Keflavik International Airport,Keflavik,Iceland,BGO,Bergen Airport Flesland,Bergen,Norway,73H,6E-2471
GO_FIRST,KEF,Keflavik International Airport,Keflavik,Iceland,OSL,Oslo Lufthavn,Oslo,Norway,733,G8-171
GO_FIRST,KRK,Kraków John Paul II International Airport,Krakow,Poland,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,G8-173
Air_India,KRK,Kraków John Paul II International Airport,Krakow,Poland,BGO,Bergen Airport Flesland,Bergen,Norway,73H,AI-665
Air_India,KRK,Kraków John Paul II International Airport,Krakow,Poland,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,73H,AI-887
Air_India,KRK,Kraków John Paul II International Airport,Krakow,Poland,OSL,Oslo Lufthavn,Oslo,Norway,73H,AI-624
Air_India,KRK,Kraków John Paul II International Airport,Krakow,Poland,SVG,Stavanger Airport Sola,Stavanger,Norway,73H,AI-441
Air_India,KRK,Kraków John Paul II International Airport,Krakow,Poland,TRD,Trondheim Airport Værnes,Trondheim,Norway,73H,AI-624
Air_India,KSD,Karlstad Airport,Karlstad,Sweden,ALC,Alicante International Airport,Alicante,Spain,73H,AI-441
Air_India,LAX,Los Angeles International Airport,Los Angeles,United States,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,788,AI-665
Indigo,LAX,Los Angeles International Airport,Los Angeles,United States,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark,788,6E-2147
Vistara,LCA,Larnaca International Airport,Larnaca,Cyprus,ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,73H,UK-985
